,SYMBOL,SERIES,OPEN_day2cm,HIGH_day2cm,LOW_day2cm,CLOSE_day2cm,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP_day2cm,TOTALTRADES,ISIN,INSTRUMENT,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN_day2fo,HIGH_day2fo,LOW_day2fo,CLOSE_day2fo,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP_day2fo,ACTUAL BASIS,ACTUAL BASIS %,DAYS TO EXPIRE,FV
1212,AMBUJACEM,EQ,208.1,210.0,205.85,209.85,210.0,208.15,1717509.0,359000400.35,2015-11-06,17558.0,INE079A01024,FUTSTK,2015-12-31,0.0,XX,208.7,208.7,208.4,208.4,212.2,4.0,17.6,58800.0,0.0,2015-11-06,0.0110744580584,1.10744580584,55,212.068375657
1213,AMBUJACEM,EQ,208.1,210.0,205.85,209.85,210.0,208.15,1717509.0,359000400.35,2015-11-06,17558.0,INE079A01024,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,211.3,213.4,0.0,0.0,0.0,0.0,2015-11-06,0.0166354264292,1.66354264292,83,213.206723296
1395,ANDHRABANK,EQ,64.25,66.9,64.1,66.45,66.4,64.7,1799323.0,118620681.6,2015-11-06,8451.0,INE434A01013,FUTSTK,2015-11-26,0.0,XX,65.0,67.25,64.65,66.8,66.8,931.0,4927.8,13728000.0,-56000.0,2015-11-06,0.00523952095808,0.523952095808,20,66.7045854364
1396,ANDHRABANK,EQ,64.25,66.9,64.1,66.45,66.4,64.7,1799323.0,118620681.6,2015-11-06,8451.0,INE434A01013,FUTSTK,2015-12-31,0.0,XX,65.7,67.25,65.1,66.95,66.95,13.0,69.06,360000.0,40000.0,2015-11-06,0.00746825989544,0.746825989544,55,67.1524591965
1397,ANDHRABANK,EQ,64.25,66.9,64.1,66.45,66.4,64.7,1799323.0,118620681.6,2015-11-06,8451.0,INE434A01013,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,67.4,67.6,0.0,0.0,0.0,0.0,2015-11-06,0.0170118343195,1.70118343195,83,67.5129223875
1532,APOLLOHOSP,EQ,1336.0,1359.0,1335.0,1345.85,1347.1,1344.15,135338.0,182721638.15,2015-11-06,9723.0,INE437A01024,FUTSTK,2015-11-26,0.0,XX,1344.0,1362.8,1337.0,1349.8,1349.8,565.0,3053.97,564800.0,-5200.0,2015-11-06,0.00292635946066,0.292635946066,20,1351.00626501
1533,APOLLOHOSP,EQ,1336.0,1359.0,1335.0,1345.85,1347.1,1344.15,135338.0,182721638.15,2015-11-06,9723.0,INE437A01024,FUTSTK,2015-12-31,0.0,XX,0.0,0.0,0.0,1376.0,1360.85,0.0,0.0,3600.0,0.0,2015-11-06,0.011022522688,1.1022522688,55,1360.0773094
1534,APOLLOHOSP,EQ,1336.0,1359.0,1335.0,1345.85,1347.1,1344.15,135338.0,182721638.15,2015-11-06,9723.0,INE437A01024,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,1343.55,1368.55,0.0,0.0,0.0,0.0,2015-11-06,0.0165868985423,1.65868985423,83,1367.37797736
1655,APOLLOTYRE,EQ,159.15,162.3,156.45,158.9,158.9,159.05,1949061.0,311409474.95,2015-11-06,23035.0,INE438A01022,FUTSTK,2015-11-26,0.0,XX,159.1,162.65,156.7,159.45,159.45,2676.0,12856.4,10962000.0,-405000.0,2015-11-06,0.00344935716526,0.344935716526,20,159.508782932
1656,APOLLOTYRE,EQ,159.15,162.3,156.45,158.9,158.9,159.05,1949061.0,311409474.95,2015-11-06,23035.0,INE438A01022,FUTSTK,2015-12-31,0.0,XX,161.6,163.85,158.0,160.5,160.5,45.0,217.43,201000.0,15000.0,2015-11-06,0.00996884735202,0.996884735202,55,160.57977075
