INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,APOLLOTYRE,31-Dec-2015,0,XX,156.8,162,152.55,159.6,159.6,289,1371.73,810000,318000,16-NOV-2015,
FUTSTK,APOLLOTYRE,28-Jan-2016,0,XX,0,0,0,185.65,160.05,0,0,0,0,16-NOV-2015,
FUTSTK,ARVIND,26-Nov-2015,0,XX,287,290.65,283.4,285.45,285.45,1697,8260.74,3755300,-27200,16-NOV-2015,
FUTSTK,ARVIND,31-Dec-2015,0,XX,288.25,288.5,284.1,286.45,286.45,127,618.38,294100,83300,16-NOV-2015,
FUTSTK,ARVIND,28-Jan-2016,0,XX,286,286,285.5,285.5,289.2,3,14.63,15300,0,16-NOV-2015,
FUTSTK,ASHOKLEY,26-Nov-2015,0,XX,90.45,91,89.8,90.65,90.65,2766,17535.22,60529000,-511000,16-NOV-2015,
FUTSTK,ASHOKLEY,31-Dec-2015,0,XX,90.35,91.15,90,90.85,90.85,226,1435.68,5705000,406000,16-NOV-2015,
FUTSTK,ASHOKLEY,28-Jan-2016,0,XX,91,91.1,91,91.05,92.05,9,57.36,168000,56000,16-NOV-2015,
FUTSTK,ASIANPAINT,26-Nov-2015,0,XX,801.4,813,801.4,804.45,804.45,2206,10689.64,4467000,39000,16-NOV-2015,
FUTSTK,ASIANPAINT,31-Dec-2015,0,XX,806,816,806,808.4,808.4,65,316.4,103200,7200,16-NOV-2015,
FUTSTK,ASIANPAINT,28-Jan-2016,0,XX,0,0,0,844.75,812.85,0,0,0,0,16-NOV-2015,
FUTSTK,AUROPHARMA,26-Nov-2015,0,XX,830,839.5,811.15,823.3,823.3,7611,44002.1,14909300,-25900,16-NOV-2015,
FUTSTK,AUROPHARMA,31-Dec-2015,0,XX,840,840.05,816.4,829.75,829.75,739,4311.86,555800,424200,16-NOV-2015,
FUTSTK,AUROPHARMA,28-Jan-2016,0,XX,0,0,0,865,832.45,0,0,700,0,16-NOV-2015,
FUTSTK,AXISBANK,26-Nov-2015,0,XX,487.9,487.9,478.5,483.55,483.55,12747,61531.78,38312000,1204000,16-NOV-2015,
FUTSTK,AXISBANK,31-Dec-2015,0,XX,488,488.5,481.75,486.1,486.1,482,2339.16,819000,179000,16-NOV-2015,
FUTSTK,AXISBANK,28-Jan-2016,0,XX,489.75,489.75,484.15,489,489,20,97.61,38000,5000,16-NOV-2015,
FUTSTK,BAJAJ-AUTO,26-Nov-2015,0,XX,2367.05,2416.9,2350,2382.25,2382.25,2537,12075.99,1352000,-21400,16-NOV-2015,
FUTSTK,BAJAJ-AUTO,31-Dec-2015,0,XX,2370,2428,2366,2391.85,2391.85,64,305.84,29000,2000,16-NOV-2015,
FUTSTK,BAJAJ-AUTO,28-Jan-2016,0,XX,0,0,0,2458.6,2407.85,0,0,200,0,16-NOV-2015,
FUTSTK,BAJFINANCE,26-Nov-2015,0,XX,5320.05,5320.05,5234.15,5291.65,5291.65,534,3523.52,215375,14250,16-NOV-2015,
FUTSTK,BAJFINANCE,31-Dec-2015,0,XX,5295.5,5330.5,5270,5330.5,5330.5,24,158.94,2375,875,16-NOV-2015,
FUTSTK,BAJFINANCE,28-Jan-2016,0,XX,0,0,0,5367.45,5350.4,0,0,125,0,16-NOV-2015,
FUTSTK,BANKBARODA,26-Nov-2015,0,XX,174.6,177.8,173.7,177.2,177.2,5746,31329.39,42975300,967200,16-NOV-2015,
FUTSTK,BANKBARODA,31-Dec-2015,0,XX,174.65,178,173.8,177.55,177.55,204,1113.9,1019900,102300,16-NOV-2015,
FUTSTK,BANKBARODA,28-Jan-2016,0,XX,175.95,178,175.95,176.45,176.45,7,38.35,40300,3100,16-NOV-2015,
FUTSTK,BANKINDIA,26-Nov-2015,0,XX,129,134.2,129,133.6,133.6,2443,9718.78,15744000,264000,16-NOV-2015,
FUTSTK,BANKINDIA,31-Dec-2015,0,XX,131.3,134.85,131.3,134.45,134.45,125,499.02,657000,120000,16-NOV-2015,
FUTSTK,BANKINDIA,28-Jan-2016,0,XX,133.75,134,133.3,134,134,10,40.05,45000,18000,16-NOV-2015,
FUTSTK,BATAINDIA,26-Nov-2015,0,XX,464.95,471.7,455.05,468.95,468.95,628,2913.81,3845000,-20000,16-NOV-2015,
